Country,Question ID,Response,Justification,Supporting0,Supporting1,Supporting2,Supporting4
Argentina,ODB.2013.D5.f,0,,,,,
Argentina,ODB.2013.D5.h,1,,,,,
Argentina,ODB.2013.D5.j,0,,,,,
Argentina,ODB.2013.D5.i,0,,,,,
Argentina,ODB.2013.D6.c,0,,,,,
Argentina,ODB.2013.D6.d,0,,,,,
Argentina,ODB.2013.D6.f,0,,,,,
Argentina,ODB.2013.D6.e,1,,,,,
Argentina,ODB.2013.D6.h,1,,"Although the accuracy of the data provided by Argentina has been questioned (1), it is reasonable that the government will keep publishing this data.

(1): http://www.bloomberg.com/news/2013-02-01/argentina-becomes-first-nation-censured-by-imf-on-inflation-data.html",,,
Argentina,ODB.2013.D6.g,1,,6/1/2014,9/29/2014,,
Argentina,ODB.2013.D6.j,0,,,,,
Argentina,ODB.2013.D6.i,1,,,,,
Argentina,ODB.2013.D7.d,0,,,,,
Argentina,ODB.2013.D7.c,0,,,,,
Argentina,ODB.2013.D7.e,1,,,,,
Argentina,ODB.2013.D7.f,0,,,,,
Argentina,ODB.2013.D7.g,1,,,9/29/2014,unknown,
Argentina,ODB.2013.D7.h,1,,I suspect the data is updated in order to keep track of different companies and societies being created.,,,
Argentina,ODB.2013.D7.i,0,,,,,
Argentina,ODB.2013.D7.j,0,,,,,
Argentina,ODB.2013.D8.c,0,,,,,
Argentina,ODB.2013.D8.d,0,,,,,
Argentina,ODB.2013.D8.e,1,,,,,
Argentina,ODB.2013.D8.f,0,,No license found,,,
Argentina,ODB.2013.D8.g,1,,9/29/2014,9/29/2014,daily,
Argentina,ODB.2013.D8.h,1,,,,,
Argentina,ODB.2013.D8.j,0,,,,,
Argentina,ODB.2013.D8.i,1,,,,,
Argentina,ODB.2013.D9.c,1,,"http://bahiablanca.opendata.junar.com/datastreams/87905-gps-transporte.csv
https://recursos-data.buenosaires.gob.ar/ckan2/bicicleteros-via-publica/bicicleteros-via-publica.zip","shp,csv,xls",,"As mentioned earlier, not all the data is published in a machine-readable format. In many cases, tables are released in pdf files."
Argentina,ODB.2013.D9.d,1,,,see c:,,
Argentina,ODB.2013.D9.e,1,,,,,
Argentina,ODB.2013.D9.f,1,,Bahia Blanca: CC-BY. No information about license in other sites.,http://creativecommons.org/licenses/by/2.5/ar/,,
Argentina,ODB.2013.D9.g,1,,Some datasets like the location of bike parking was updated in 2014-09-18,9/29/2014,irregular,
Argentina,ODB.2013.D9.h,1,,,,,
Argentina,ODB.2013.D9.i,1,,,,,
Argentina,ODB.2013.D9.j,0,,,,,
Argentina,ODB.2013.D10.c,0,,,,,
Argentina,ODB.2013.D10.d,0,,,,,
Argentina,ODB.2013.D10.f,0,,No license found,,,
Argentina,ODB.2013.D10.e,1,,,,,
Argentina,ODB.2013.D10.g,0,,2013,9/29/2014,unknown,
